"Time","machine69","machine70","Total","machine77"
2024-06-13 14:49:45,229,312,856,309
2024-06-13 14:50:00,234,307,854,308
2024-06-13 14:50:15,262,329,908,328
2024-06-13 14:50:30,271,326,919,327
2024-06-13 14:50:45,284,330,946,331
2024-06-13 14:51:00,279,310,924,309
2024-06-13 14:51:15,337,347,1064,347
2024-06-13 14:51:30,382,458,1234,449
2024-06-13 14:51:45,467,522,1554,515
2024-06-13 14:52:00,490,631,1729,628
2024-06-13 14:52:15,490,669,1852,668
2024-06-13 14:52:30,502,701,1871,699
2024-06-13 14:52:45,509,680,1859,691
2024-06-13 14:53:00,502,648,1798,650
2024-06-13 14:53:15,503,634,1759,642
2024-06-13 14:53:30,507,609,1713,610
2024-06-13 14:53:45,509,613,1734,613
2024-06-13 14:54:00,508,594,1699,596
2024-06-13 14:54:15,493,597,1689,456
2024-06-13 14:54:30,491,593,1685,598
2024-06-13 14:54:45,494,594,1695,597
2024-06-13 14:55:00,452,590,1634,483
2024-06-13 14:55:15,455,552,1526,558
2024-06-13 14:55:30,410,452,1338,454
2024-06-13 14:55:45,287,407,1068,412
2024-06-13 14:56:00,242,353,944,351
