"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-13 14:49:45,1200882950,30290,5872,460
2024-06-13 14:50:00,1200938783,31067,6678,749
2024-06-13 14:50:15,1201008891,31766,7509,751
2024-06-13 14:50:30,1201057859,32111,8259,757
2024-06-13 14:50:45,1201140725,33271,9251,1049
2024-06-13 14:51:00,1201197112,36280,12824,1049
2024-06-13 14:51:15,1202166478,66602,28439,4889
2024-06-13 14:51:30,1202847338,94442,44872,7406
2024-06-13 14:51:45,1204048582,130860,61132,12390
2024-06-13 14:52:00,1204730146,157722,77450,14996
2024-06-13 14:52:15,1205862341,192276,93180,20218
2024-06-13 14:52:30,1206644356,226693,103481,22590
2024-06-13 14:52:45,1207803409,256345,125844,27690
2024-06-13 14:53:00,1208579513,283971,140181,30933
2024-06-13 14:53:15,1209670726,319592,159022,35413
2024-06-13 14:53:30,1210330162,341550,170515,38668
2024-06-13 14:53:45,1211585174,385138,192825,42922
2024-06-13 14:54:00,1212298962,413370,208951,46328
2024-06-13 14:54:15,1213470918,451149,226599,50476
2024-06-13 14:54:30,1214252851,472914,240318,53812
2024-06-13 14:54:45,1215349636,514741,259560,58079
2024-06-13 14:55:00,1216104755,541737,272749,61302
2024-06-13 14:55:15,1216425522,551473,278201,62323
2024-06-13 14:55:30,1216472148,551856,278911,62341
2024-06-13 14:55:45,1216545300,552624,279759,62388
2024-06-13 14:56:00,1216594168,552993,280285,62392
