"Time","orderers","peers","Total"
2024-04-18 10:26:00,0.629,0.553,1.18
2024-04-18 10:26:15,0.629,0.553,1.18
2024-04-18 10:26:30,0.653,0.634,1.29
2024-04-18 10:26:45,0.653,0.634,1.29
2024-04-18 10:27:00,0.679,0.736,1.42
2024-04-18 10:27:15,0.680,0.740,1.42
2024-04-18 10:27:30,0.712,0.873,1.59
2024-04-18 10:27:45,0.713,0.873,1.59
2024-04-18 10:28:00,0.761,0.910,1.67
2024-04-18 10:28:15,0.825,0.930,1.76
2024-04-18 10:28:30,0.885,0.951,1.84
2024-04-18 10:28:45,0.875,0.971,1.85
2024-04-18 10:29:00,0.939,0.993,1.93
2024-04-18 10:29:15,0.823,0.844,1.67
2024-04-18 10:29:30,0.339,0.469,0.808
2024-04-18 10:29:45,0.403,0.488,0.891
2024-04-18 10:30:00,0.472,0.509,0.981
2024-04-18 10:30:15,0.447,0.525,0.972
2024-04-18 10:30:30,0.510,0.545,1.05
2024-04-18 10:30:45,0.584,0.558,1.14
2024-04-18 10:31:00,0.549,0.579,1.13
2024-04-18 10:31:15,0.603,0.599,1.20
2024-04-18 10:31:30,0.652,0.614,1.27
2024-04-18 10:31:45,0.619,0.631,1.25
