"Time","machine69","machine70","All Machines"
2024-04-18 10:26:00,0.159,0.133,0.212
2024-04-18 10:26:15,0.159,0.133,0.212
2024-04-18 10:26:30,0.161,0.133,0.213
2024-04-18 10:26:45,0.161,0.133,0.213
2024-04-18 10:27:00,0.161,0.134,0.214
2024-04-18 10:27:15,0.161,0.134,0.214
2024-04-18 10:27:30,0.161,0.134,0.214
2024-04-18 10:27:45,0.161,0.134,0.214
2024-04-18 10:28:00,0.161,0.134,0.215
2024-04-18 10:28:15,0.161,0.134,0.215
2024-04-18 10:28:30,0.187,0.134,0.248
2024-04-18 10:28:45,0.187,0.134,0.248
2024-04-18 10:29:00,0.187,0.208,0.284
2024-04-18 10:29:15,0.0282,0.0752,0.205
2024-04-18 10:29:30,0.0923,0.0752,0.141
2024-04-18 10:29:45,0.0923,0.0752,0.141
2024-04-18 10:30:00,0.0923,0.151,0.179
2024-04-18 10:30:15,0.0923,0.151,0.179
2024-04-18 10:30:30,0.154,0.151,0.248
2024-04-18 10:30:45,0.154,0.151,0.248
2024-04-18 10:31:00,0.154,0.226,0.286
2024-04-18 10:31:15,0.165,0.226,0.286
2024-04-18 10:31:30,0.219,0.226,0.355
2024-04-18 10:31:45,0.219,0.226,0.355
