"Time","machine69","machine70","Total","machine77"
2024-07-31 10:19:45,0,226,752,274
2024-07-31 10:20:00,0,278,789,274
2024-07-31 10:20:15,0,150,900,364
2024-07-31 10:20:30,,0,1238,378
2024-07-31 10:20:45,0,79.2,1556,557
2024-07-31 10:21:00,0,0,1516,545
2024-07-31 10:21:15,0,472,1586,560
2024-07-31 10:21:30,,534,1572,560
2024-07-31 10:21:45,0,501,1555,550
2024-07-31 10:22:00,0.00265,541,1545,550
2024-07-31 10:22:15,0.00265,513,1560,553
2024-07-31 10:22:30,0,565,1588,553
2024-07-31 10:22:45,,534,1624,550
2024-07-31 10:23:00,0.0420,565,1647,550
2024-07-31 10:23:15,0,462,1657,570
2024-07-31 10:23:30,0,592,1656,571
2024-07-31 10:23:45,0,507,1647,567
2024-07-31 10:24:00,0.00153,557,1581,564
2024-07-31 10:24:15,0.00370,365,1338,481
2024-07-31 10:24:30,0,409,1130,480
2024-07-31 10:24:45,0,140,848,304
2024-07-31 10:25:00,0,275,808,305
2024-07-31 10:25:15,0.00476,164,744,288
