"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-23 21:19:15,2349642168,27961,7128,747
2024-06-23 21:19:30,2349690930,28458,7842,753
2024-06-23 21:19:45,2349771249,29410,8817,932
2024-06-23 21:20:00,2349820634,30191,9360,1042
2024-06-23 21:20:15,2350194217,40082,15854,2180
2024-06-23 21:20:30,2351273807,68694,30079,6274
2024-06-23 21:20:45,2352673509,105907,50717,9718
2024-06-23 21:21:00,2353658866,140327,62746,13068
2024-06-23 21:21:15,2355088714,169990,84850,17405
2024-06-23 21:21:30,2356048071,190742,101946,21506
2024-06-23 21:21:45,2357455600,233386,118922,24969
2024-06-23 21:22:00,2358506897,261172,132777,27509
2024-06-23 21:22:15,2359862125,297165,151614,32446
2024-06-23 21:22:30,2360883747,319601,165442,35009
2024-06-23 21:22:45,2362240158,362188,184753,39973
2024-06-23 21:23:00,2363210531,389706,198463,43192
2024-06-23 21:23:15,2364617342,426231,217615,47417
2024-06-23 21:23:30,2365540738,447155,229023,49928
2024-06-23 21:23:45,2366996828,490314,250412,54900
2024-06-23 21:24:00,2367880107,518640,264292,58212
2024-06-23 21:24:15,2369175256,549864,279981,61850
2024-06-23 21:24:30,2369223116,550599,280693,61850
2024-06-23 21:24:45,2369300633,551209,281521,61887
2024-06-23 21:25:00,2369358549,551572,282274,61890
2024-06-23 21:25:15,2369421482,552367,283126,61918
