"Time","machine69","machine70","Total","machine77"
2024-06-23 21:19:15,227,318,866,321
2024-06-23 21:19:30,222,317,852,318
2024-06-23 21:19:45,232,311,864,316
2024-06-23 21:20:00,237,306,852,306
2024-06-23 21:20:15,270,330,945,324
2024-06-23 21:20:30,330,459,1180,446
2024-06-23 21:20:45,426,541,1552,531
2024-06-23 21:21:00,483,658,1766,648
2024-06-23 21:21:15,510,698,1916,698
2024-06-23 21:21:30,513,688,1892,691
2024-06-23 21:21:45,517,688,1894,688
2024-06-23 21:22:00,515,676,1881,677
2024-06-23 21:22:15,517,691,1882,689
2024-06-23 21:22:30,514,669,1840,668
2024-06-23 21:22:45,516,679,1871,679
2024-06-23 21:23:00,517,663,1859,668
2024-06-23 21:23:15,526,681,1898,682
2024-06-23 21:23:30,524,680,1885,679
2024-06-23 21:23:45,525,672,1876,677
2024-06-23 21:24:00,522,663,1859,662
2024-06-23 21:24:15,503,673,1829,669
2024-06-23 21:24:30,451,553,1590,565
2024-06-23 21:24:45,336,485,1264,494
2024-06-23 21:25:00,287,345,1007,359
2024-06-23 21:25:15,245,347,934,347
