"Time","orderers","peers","Total"
2024-06-23 21:19:15,0.113,112,112
2024-06-23 21:19:30,0.113,111,111
2024-06-23 21:19:45,0.114,112,112
2024-06-23 21:20:00,0.114,112,112
2024-06-23 21:20:15,0.140,113,113
2024-06-23 21:20:30,0.205,113,113
2024-06-23 21:20:45,0.263,114,114
2024-06-23 21:21:00,0.281,114,114
2024-06-23 21:21:15,0.304,113,113
2024-06-23 21:21:30,0.345,114,114
2024-06-23 21:21:45,0.403,114,114
2024-06-23 21:22:00,0.386,114,114
2024-06-23 21:22:15,0.460,115,115
2024-06-23 21:22:30,0.500,115,115
2024-06-23 21:22:45,0.482,114,114
2024-06-23 21:23:00,0.543,115,115
2024-06-23 21:23:15,0.587,115,115
2024-06-23 21:23:30,0.560,115,115
2024-06-23 21:23:45,0.638,116,116
2024-06-23 21:24:00,0.691,116,116
2024-06-23 21:24:15,0.656,116,116
2024-06-23 21:24:30,0.657,115,115
2024-06-23 21:24:45,0.658,115,115
2024-06-23 21:25:00,0.658,115,115
2024-06-23 21:25:15,0.660,115,115
