"Time","machine69","machine70","Total","machine77"
2024-04-19 18:40:45,3.05,3.40,7.80,1.40
2024-04-19 18:41:00,16.4,19.0,48.0,11.4
2024-04-19 18:41:15,37.7,41.9,105,24.7
2024-04-19 18:41:30,59.6,59.2,161,38.3
2024-04-19 18:41:45,81.6,80.2,212,51.1
2024-04-19 18:42:00,81.1,83.1,213,51.0
2024-04-19 18:42:15,79.0,84.6,213,49.4
2024-04-19 18:42:30,77.9,86.1,213,47.3
2024-04-19 18:42:45,77.7,92.3,213,45.1
2024-04-19 18:43:00,79.0,92.5,214,44.0
2024-04-19 18:43:15,80.1,93.1,220,46.4
2024-04-19 18:43:30,79.8,91.8,220,49.0
2024-04-19 18:43:45,81.7,89.6,221,51.4
2024-04-19 18:44:00,83.3,86.5,221,51.7
2024-04-19 18:44:15,84.5,83.5,220,52.4
2024-04-19 18:44:30,83.5,82.7,217,52.6
2024-04-19 18:44:45,84.8,82.8,218,50.6
