"Time","orderers","peers","Total"
2024-04-17 21:59:15,0.137,0.479,0.616
2024-04-17 21:59:30,0.140,0.479,0.619
2024-04-17 21:59:45,0.140,0.480,0.620
2024-04-17 22:00:00,0.141,0.485,0.625
2024-04-17 22:00:15,0.142,0.473,0.615
2024-04-17 22:00:30,0.204,0.525,0.728
2024-04-17 22:00:45,0.272,0.540,0.812
2024-04-17 22:01:00,0.301,0.477,0.778
2024-04-17 22:01:15,0.275,0.422,0.697
2024-04-17 22:01:30,0.344,0.434,0.778
2024-04-17 22:01:45,0.401,0.459,0.860
2024-04-17 22:02:00,0.364,0.476,0.840
2024-04-17 22:02:15,0.436,0.487,0.923
2024-04-17 22:02:30,0.460,0.503,0.963
2024-04-17 22:02:45,0.464,0.530,0.994
2024-04-17 22:03:00,0.529,0.548,1.08
2024-04-17 22:03:15,0.561,0.570,1.13
2024-04-17 22:03:30,0.573,0.580,1.15
2024-04-17 22:03:45,0.626,0.597,1.22
2024-04-17 22:04:00,0.605,0.615,1.22
2024-04-17 22:04:15,0.668,0.628,1.30
