"Time","machine69","machine70","Total","machine77"
2024-06-24 19:59:30,247,322,893,322
2024-06-24 19:59:45,244,322,894,324
2024-06-24 20:00:00,243,322,892,317
2024-06-24 20:00:15,285,395,1072,389
2024-06-24 20:00:30,302,406,1107,402
2024-06-24 20:00:45,296,403,1110,407
2024-06-24 20:01:00,285,326,1012,328
2024-06-24 20:01:15,317,369,1088,364
2024-06-24 20:01:30,369,471,1291,460
2024-06-24 20:01:45,467,522,1539,515
2024-06-24 20:02:00,501,579,1660,575
2024-06-24 20:02:15,494,577,1663,573
2024-06-24 20:02:30,488,584,1662,585
2024-06-24 20:02:45,503,590,1686,589
2024-06-24 20:03:00,507,590,1690,593
2024-06-24 20:03:15,535,600,1755,597
2024-06-24 20:03:30,539,650,1848,647
2024-06-24 20:03:45,549,659,1869,656
2024-06-24 20:04:00,541,659,1858,663
2024-06-24 20:04:15,532,628,1777,628
2024-06-24 20:04:30,518,617,1761,620
2024-06-24 20:04:45,519,617,1744,617
2024-06-24 20:05:00,513,610,1733,612
2024-06-24 20:05:15,446,568,1531,573
2024-06-24 20:05:30,392,445,1312,451
2024-06-24 20:05:45,281,379,998,388
2024-06-24 20:06:00,228,291,827,292
2024-06-24 20:06:15,232,303,842,301
2024-06-24 20:06:30,181,225,660,212
