"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-24 19:59:30,2529681065,21418,5116,416
2024-06-24 19:59:45,2529758183,22188,6077,574
2024-06-24 20:00:00,2529813814,22960,6791,744
2024-06-24 20:00:15,2529881960,23640,7658,749
2024-06-24 20:00:30,2529932615,24084,8458,836
2024-06-24 20:00:45,2530021295,25237,9394,1041
2024-06-24 20:01:00,2530073474,25602,10539,1043
2024-06-24 20:01:15,2531069085,53939,25990,4268
2024-06-24 20:01:30,2532141157,81558,37096,8494
2024-06-24 20:01:45,2533449991,117463,59022,12010
2024-06-24 20:02:00,2534497318,146037,73141,16159
2024-06-24 20:02:15,2535761046,181532,92340,19571
2024-06-24 20:02:30,2536683966,216647,106156,22860
2024-06-24 20:02:45,2538123655,246749,125179,27291
2024-06-24 20:03:00,2538943559,268173,135919,30677
2024-06-24 20:03:15,2540432925,310521,156890,34860
2024-06-24 20:03:30,2541431579,331533,173930,38421
2024-06-24 20:03:45,2542753001,375922,189776,42561
2024-06-24 20:04:00,2543699294,407971,200104,46628
2024-06-24 20:04:15,2545068021,437988,222408,49998
2024-06-24 20:04:30,2545976401,466875,233375,53222
2024-06-24 20:04:45,2547417926,502636,254825,57420
2024-06-24 20:05:00,2548309518,531699,268887,60826
2024-06-24 20:05:15,2548931202,543590,275907,62179
2024-06-24 20:05:30,2548988809,543991,276607,62189
2024-06-24 20:05:45,2549055062,544796,277476,62214
2024-06-24 20:06:00,2549104449,545286,278184,62222
2024-06-24 20:06:15,2549175362,545962,279052,62254
2024-06-24 20:06:30,2549229613,546339,279553,62258
