"Time","Total","Peers","Orderers","Ledgers"
2024-04-19 17:37:45,0,0,0,0
2024-04-19 17:38:00,1,0,0,1
2024-04-19 17:38:15,0,0,0,0
2024-04-19 17:38:30,1,0,0,1
2024-04-19 17:38:45,3,0,1,2
2024-04-19 17:39:00,2,0,1,1
2024-04-19 17:39:15,0,0,0,0
2024-04-19 17:39:30,18,17,0,1
2024-04-19 17:39:45,0,0,0,0
2024-04-19 17:40:00,1,1,0,0
2024-04-19 17:40:15,0,0,0,0
2024-04-19 17:40:30,0,0,0,0
2024-04-19 17:40:45,1,0,1,0
2024-04-19 17:41:00,0,0,0,0
2024-04-19 17:41:15,3,0,1,2
2024-04-19 17:41:30,2,2,0,0
2024-04-19 17:41:45,0,0,0,0
