"Time","machine69","machine70","Total","machine77"
2024-04-19 11:43:15,3.12,3.31,8.67,2.24
2024-04-19 11:43:30,3.16,3.27,8.55,2.14
2024-04-19 11:43:45,3.09,3.28,8.45,2.00
2024-04-19 11:44:00,10.2,14.8,29.1,6.47
2024-04-19 11:44:15,31.7,33.4,81.3,17.6
2024-04-19 11:44:30,53.0,54.4,135,29.1
2024-04-19 11:44:45,74.1,72.7,190,40.4
2024-04-19 11:45:00,80.8,74.3,198,43.7
2024-04-19 11:45:15,80.5,76.5,199,42.4
2024-04-19 11:45:30,80.3,75.8,198,42.0
2024-04-19 11:45:45,80.9,76.3,198,40.9
2024-04-19 11:46:00,80.3,75.4,196,39.9
2024-04-19 11:46:15,80.4,75.8,196,40.7
2024-04-19 11:46:30,81.1,75.8,201,44.1
2024-04-19 11:46:45,81.5,76.8,202,45.5
2024-04-19 11:47:00,82.0,78.4,211,50.3
2024-04-19 11:47:15,83.4,79.8,215,53.0
2024-04-19 11:47:30,84.5,81.3,218,51.9
2024-04-19 11:47:45,85.6,81.8,219,50.8
