"Time","Total","Peers","Orderers","Ledgers"
2024-04-19 11:43:15,0,0,0,0
2024-04-19 11:43:30,0,0,0,0
2024-04-19 11:43:45,0,0,0,0
2024-04-19 11:44:00,0,0,0,0
2024-04-19 11:44:15,0,0,0,0
2024-04-19 11:44:30,1,0,0,1
2024-04-19 11:44:45,2,1,0,1
2024-04-19 11:45:00,2,1,0,1
2024-04-19 11:45:15,0,0,0,0
2024-04-19 11:45:30,1,1,0,0
2024-04-19 11:45:45,1,1,0,0
2024-04-19 11:46:00,0,0,0,0
2024-04-19 11:46:15,0,0,0,0
2024-04-19 11:46:30,1,1,0,0
2024-04-19 11:46:45,2,0,0,2
2024-04-19 11:47:00,0,0,0,0
2024-04-19 11:47:15,0,0,0,0
2024-04-19 11:47:30,0,0,0,0
2024-04-19 11:47:45,0,0,0,0
