"Time","orderers","peers","Total"
2024-07-31 11:18:00,0.121,3.91,3.91
2024-07-31 11:18:15,0.121,3.99,3.99
2024-07-31 11:18:30,0.166,4.23,4.23
2024-07-31 11:18:45,0.226,4.54,4.54
2024-07-31 11:19:00,0.266,4.39,4.39
2024-07-31 11:19:15,0.317,4.65,4.65
2024-07-31 11:19:30,0.380,4.55,4.55
2024-07-31 11:19:45,0.436,4.61,4.61
2024-07-31 11:20:00,0.462,4.72,4.72
2024-07-31 11:20:15,0.445,4.68,4.68
2024-07-31 11:20:30,0.489,4.77,4.77
2024-07-31 11:20:45,0.484,4.73,4.73
2024-07-31 11:21:00,0.517,4.90,4.90
2024-07-31 11:21:15,0.601,4.97,4.97
2024-07-31 11:21:30,0.643,5.02,5.02
2024-07-31 11:21:45,0.627,5.03,5.03
2024-07-31 11:22:00,0.686,5.01,5.01
2024-07-31 11:22:15,0.727,5.05,5.05
2024-07-31 11:22:30,0.700,5.15,5.15
2024-07-31 11:22:45,0.706,5.20,5.20
2024-07-31 11:23:00,0.706,5.19,5.19
2024-07-31 11:23:15,0.706,5.05,5.05
2024-07-31 11:23:30,0.706,5.31,5.31
