"Time","machine69","machine70","Total","machine77"
2024-08-01 17:27:00,0,260,732,264
2024-08-01 17:27:15,0.441,273,791,249
2024-08-01 17:27:30,,321,975,249
2024-08-01 17:27:45,0,359,1250,467
2024-08-01 17:28:00,0,548,1504,471
2024-08-01 17:28:15,0,558,1611,624
2024-08-01 17:28:30,,610,1641,625
2024-08-01 17:28:45,,160,1569,530
2024-08-01 17:29:00,0,0,1501,529
2024-08-01 17:29:15,0,56.0,1516,548
2024-08-01 17:29:30,,0,1565,550
2024-08-01 17:29:45,0,319,1613,581
2024-08-01 17:30:00,0,568,1656,581
2024-08-01 17:30:15,0,406,1706,615
2024-08-01 17:30:30,,613,1753,615
2024-08-01 17:30:45,,534,1771,631
2024-08-01 17:31:00,0,602,1739,631
2024-08-01 17:31:15,,508,1613,580
2024-08-01 17:31:30,,516,1207,580
2024-08-01 17:31:45,,207,962,0
2024-08-01 17:32:00,,229,790,0.351
