"Time","orderers","peers","Total"
2024-04-19 11:08:45,0.359,1.04,1.40
2024-04-19 11:09:00,0.415,1.35,1.76
2024-04-19 11:09:15,0.418,1.35,1.77
2024-04-19 11:09:30,0.485,1.67,2.15
2024-04-19 11:09:45,0.485,1.69,2.17
2024-04-19 11:10:00,0.486,1.70,2.19
2024-04-19 11:10:15,0.581,2.10,2.68
2024-04-19 11:10:30,0.587,2.11,2.70
2024-04-19 11:10:45,0.773,2.13,2.90
2024-04-19 11:11:00,0.985,2.21,3.19
2024-04-19 11:11:15,1.20,2.25,3.45
2024-04-19 11:11:30,1.16,2.30,3.46
2024-04-19 11:11:45,1.19,2.03,3.22
2024-04-19 11:12:00,1.18,1.37,2.55
2024-04-19 11:12:15,1.06,1.42,2.48
2024-04-19 11:12:30,1.24,1.48,2.72
2024-04-19 11:12:45,1.31,1.53,2.84
2024-04-19 11:13:00,1.29,1.60,2.89
2024-04-19 11:13:15,1.49,1.65,3.14
2024-04-19 11:13:30,1.48,1.68,3.16
2024-04-19 11:13:45,1.54,1.74,3.28
2024-04-19 11:14:00,1.70,1.77,3.47
2024-04-19 11:14:15,1.78,1.86,3.64
2024-04-19 11:14:30,1.80,1.87,3.67
