"Time","machine69","machine70","Total","machine77"
2024-04-19 11:09:00,0.388,,0.356,
2024-04-19 11:09:15,1.14,,1.12,
2024-04-19 11:09:30,1.88,0.382,1.93,
2024-04-19 11:09:45,2.72,1.24,3.73,
2024-04-19 11:10:00,3.04,2.12,5.01,
2024-04-19 11:10:15,3.14,3.01,6.42,0.578
2024-04-19 11:10:30,3.15,3.82,7.85,1.21
2024-04-19 11:10:45,13.9,20.7,45.8,10.9
2024-04-19 11:11:00,35.7,40.5,96.8,23.8
2024-04-19 11:11:15,59.8,59.8,155,36.2
2024-04-19 11:11:30,81.7,75.9,206,49.5
2024-04-19 11:11:45,89.6,77.4,218,51.3
2024-04-19 11:12:00,86.7,76.9,215,52.1
2024-04-19 11:12:15,85.0,78.0,213,51.4
2024-04-19 11:12:30,84.9,77.1,211,49.0
2024-04-19 11:12:45,86.3,78.7,210,46.7
2024-04-19 11:13:00,88.0,80.5,217,48.9
2024-04-19 11:13:15,88.5,80.2,222,53.1
2024-04-19 11:13:30,89.6,82.7,230,57.2
2024-04-19 11:13:45,90.6,83.8,233,59.9
2024-04-19 11:14:00,91.6,85.5,235,59.6
2024-04-19 11:14:15,92.9,90.2,242,60.2
2024-04-19 11:14:30,91.2,94.0,242,58.2
