"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-14 13:00:15,1364853821,25973,6240,661
2024-06-14 13:00:30,1364903677,26478,6980,746
2024-06-14 13:00:45,1364989115,27333,7894,752
2024-06-14 13:01:00,1365034780,27733,8416,797
2024-06-14 13:01:15,1365122132,28980,9639,1043
2024-06-14 13:01:30,1365215479,30496,10753,1648
2024-06-14 13:01:45,1366296415,65469,30524,5447
2024-06-14 13:02:00,1367093490,91913,48091,8888
2024-06-14 13:02:15,1368227528,128166,64073,13011
2024-06-14 13:02:30,1368947859,154949,77277,15510
2024-06-14 13:02:45,1369643976,176745,88382,19078
2024-06-14 13:03:00,1370835206,216095,112828,25042
2024-06-14 13:03:15,1371978847,252346,127601,28474
2024-06-14 13:03:30,1372377923,273238,137269,30272
2024-06-14 13:03:45,1373874269,318064,160544,36237
2024-06-14 13:04:00,1374575566,339643,175297,38909
2024-06-14 13:04:15,1375808756,382236,194184,44204
2024-06-14 13:04:30,1376472158,403302,208271,46653
2024-06-14 13:04:45,1377686900,444526,225838,52020
2024-06-14 13:05:00,1378382242,465736,235682,56151
2024-06-14 13:05:15,1379556885,507391,257428,59942
2024-06-14 13:05:30,1380284228,526950,269550,63046
2024-06-14 13:05:45,1380535897,537692,273564,63853
2024-06-14 13:06:00,1380588174,538388,274302,63869
2024-06-14 13:06:15,1380661934,538918,275139,63908
2024-06-14 13:06:30,1380710918,539300,275688,63908
2024-06-14 13:06:45,1380785207,540128,276801,63962
2024-06-14 13:07:00,1380838073,540683,277555,63979
2024-06-14 13:07:15,1380914263,541439,278405,64018
