"Time","machine69","machine70","Total","machine77"
2024-06-14 13:00:15,247,349,932,341
2024-06-14 13:00:30,246,343,927,336
2024-06-14 13:00:45,259,348,943,337
2024-06-14 13:01:00,245,323,900,320
2024-06-14 13:01:15,226,340,899,337
2024-06-14 13:01:30,228,367,945,364
2024-06-14 13:01:45,313,425,1197,417
2024-06-14 13:02:00,364,515,1377,515
2024-06-14 13:02:15,452,561,1592,560
2024-06-14 13:02:30,448,562,1573,566
2024-06-14 13:02:45,394,431,1392,430
2024-06-14 13:03:00,458,509,1475,507
2024-06-14 13:03:15,485,519,1524,522
2024-06-14 13:03:30,484,355,1318,326
2024-06-14 13:03:45,481,401,1427,336
2024-06-14 13:04:00,475,492,1460,495
2024-06-14 13:04:15,479,502,1394,503
2024-06-14 13:04:30,489,452,1545,446
2024-06-14 13:04:45,506,605,1723,602
2024-06-14 13:05:00,518,659,1804,655
2024-06-14 13:05:15,553,714,1990,713
2024-06-14 13:05:30,567,684,1958,695
2024-06-14 13:05:45,490,621,1698,629
2024-06-14 13:06:00,432,462,1412,475
2024-06-14 13:06:15,300,416,1098,426
2024-06-14 13:06:30,270,357,982,364
2024-06-14 13:06:45,264,347,939,348
2024-06-14 13:07:00,254,315,903,317
2024-06-14 13:07:15,252,308,879,309
