"Time","Total","Peers","Orderers","Ledgers"
2024-06-14 13:00:15,0,0,0,0
2024-06-14 13:00:30,0,0,0,0
2024-06-14 13:00:45,1,0,0,0
2024-06-14 13:01:00,2,0,0,0
2024-06-14 13:01:15,0,0,0,0
2024-06-14 13:01:30,0,0,0,0
2024-06-14 13:01:45,0,0,0,0
2024-06-14 13:02:00,50,0,0,0
2024-06-14 13:02:15,2,0,0,0
2024-06-14 13:02:30,0,0,0,0
2024-06-14 13:02:45,4,0,0,0
2024-06-14 13:03:00,94,0,0,0
2024-06-14 13:03:15,0,0,0,0
2024-06-14 13:03:30,10,0,0,0
2024-06-14 13:03:45,0,0,0,0
2024-06-14 13:04:00,39,0,13,0
2024-06-14 13:04:15,0,0,0,0
2024-06-14 13:04:30,0,0,0,0
2024-06-14 13:04:45,1,0,0,0
2024-06-14 13:05:00,76,0,0,0
2024-06-14 13:05:15,9,0,0,0
2024-06-14 13:05:30,81,0,76,0
2024-06-14 13:05:45,0,0,0,0
2024-06-14 13:06:00,0,0,0,0
2024-06-14 13:06:15,4,0,0,0
2024-06-14 13:06:30,0,0,0,0
2024-06-14 13:06:45,0,0,0,0
2024-06-14 13:07:00,0,0,0,0
2024-06-14 13:07:15,0,0,0,0
