"Time","Total","Peers","Orderers","Couchsdb"
2024-06-14 13:00:15,256650,2917,3328,552
2024-06-14 13:00:30,251717,3002,3309,482
2024-06-14 13:00:45,266714,2935,3337,408
2024-06-14 13:01:00,264214,2972,3353,335
2024-06-14 13:01:15,269459,2948,3424,342
2024-06-14 13:01:30,320423,4257,4149,985
2024-06-14 13:01:45,1521542,44837,26770,5614
2024-06-14 13:02:00,2353340,72420,42504,9645
2024-06-14 13:02:15,3626776,117896,62784,13302
2024-06-14 13:02:30,3809632,125104,65867,15104
2024-06-14 13:02:45,3399014,112379,57936,13751
2024-06-14 13:03:00,3718293,123631,63868,15317
2024-06-14 13:03:15,3769247,124204,63968,15532
2024-06-14 13:03:30,3284596,103423,53122,14632
2024-06-14 13:03:45,3705985,123385,63597,14812
2024-06-14 13:04:00,3837544,129475,66623,15621
2024-06-14 13:04:15,3400950,118717,58669,14367
2024-06-14 13:04:30,3791975,128357,65947,15701
2024-06-14 13:04:45,3777374,126187,63901,15662
2024-06-14 13:05:00,3755886,125486,61450,15734
2024-06-14 13:05:15,3744430,124008,62759,15868
2024-06-14 13:05:30,3675007,124001,60222,15560
2024-06-14 13:05:45,2659268,86869,45194,11216
2024-06-14 13:06:00,1873584,56174,31660,6334
2024-06-14 13:06:15,559655,14265,8996,1730
2024-06-14 13:06:30,246820,2366,3202,70.5
2024-06-14 13:06:45,248544,2440,3220,134
2024-06-14 13:07:00,247671,2398,3245,83.7
2024-06-14 13:07:15,254102,2598,3242,137
