"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-24 22:50:30,2585895817,22582,8538,886
2024-06-24 22:50:45,2585972506,23465,9406,1036
2024-06-24 22:51:00,2586273146,31933,17785,2912
2024-06-24 22:51:15,2587635753,73255,38370,7177
2024-06-24 22:51:30,2588464468,95039,52290,9666
2024-06-24 22:51:45,2589717527,138929,71972,14897
2024-06-24 22:52:00,2590498389,166593,89042,18168
2024-06-24 22:52:15,2591784127,203138,106186,22287
2024-06-24 22:52:30,2592636049,230382,116857,25843
2024-06-24 22:52:45,2593835268,266602,138814,30044
2024-06-24 22:53:00,2594691342,287726,149325,33394
2024-06-24 22:53:15,2595926078,329862,172038,37693
2024-06-24 22:53:30,2596679075,358315,183636,40133
2024-06-24 22:53:45,2598016112,395999,207267,45147
2024-06-24 22:54:00,2598819746,417338,222357,47610
2024-06-24 22:54:15,2600120068,459606,241325,52671
2024-06-24 22:54:30,2600920827,488695,253151,54988
2024-06-24 22:54:45,2602211568,523965,275826,60035
2024-06-24 22:55:00,2602781143,542132,285007,61982
2024-06-24 22:55:15,2602850871,542866,285617,61988
2024-06-24 22:55:30,2602904061,543510,286373,62011
2024-06-24 22:55:45,2602980189,544104,287197,62018
2024-06-24 22:56:00,2603035394,544735,287959,62039
2024-06-24 22:56:15,2603099031,545258,288786,62048
2024-06-24 22:56:30,2603140785,545828,289520,62073
