"Time","machine69","machine70","Total","machine77"
2024-06-24 22:50:30,301,395,1099,394
2024-06-24 22:50:45,300,389,1090,391
2024-06-24 22:51:00,301,393,1090,393
2024-06-24 22:51:15,392,465,1364,456
2024-06-24 22:51:30,444,565,1544,561
2024-06-24 22:51:45,527,604,1730,602
2024-06-24 22:52:00,517,564,1669,567
2024-06-24 22:52:15,520,561,1643,561
2024-06-24 22:52:30,540,599,1695,595
2024-06-24 22:52:45,586,621,1844,618
2024-06-24 22:53:00,602,668,1924,667
2024-06-24 22:53:15,587,675,1937,675
2024-06-24 22:53:30,567,664,1888,664
2024-06-24 22:53:45,519,652,1813,653
2024-06-24 22:54:00,513,632,1777,630
2024-06-24 22:54:15,524,633,1777,630
2024-06-24 22:54:30,525,617,1737,618
2024-06-24 22:54:45,530,613,1750,610
2024-06-24 22:55:00,515,558,1640,568
2024-06-24 22:55:15,397,520,1406,529
2024-06-24 22:55:30,358,403,1216,413
2024-06-24 22:55:45,258,344,937,353
2024-06-24 22:56:00,253,316,895,318
2024-06-24 22:56:15,241,324,878,323
2024-06-24 22:56:30,240,315,878,319
